"Recipe Name","servings","Total Time","Instruction"
"Chicken Scampi Pasta","6 serving(s)","25","Bring a large pot of salted water to a boil for the pasta. Sprinkle the chicken with some salt. Heat a large skillet over medium-high heat until hot, then add the oil. Working in 2 batches, brown the chicken until golden but not cooked through, 2 to 3 minutes per batch. Remove the chicken to a plate.
Melt 4 tablespoons of the butter in the skillet. Add the garlic and red pepper flakes and cook until the garlic just begins to turn golden at the edges, 30 seconds to 1 minute. Add the wine, bring to a simmer and cook until reduced by half, about 2 minutes. Remove from the heat.
Meanwhile, cook the pasta until very al dente, reserving 1 cup of the pasta water. Add the pasta and 3/4 cup pasta water to the skillet along with the chicken, lemon zest and juice and the remaining 4 tablespoons butter. Return the skillet to medium-low heat and gently stir the pasta until the butter is melted, adding the remaining 1/4 pasta water if the pasta seems too dry. Remove the skillet from the heat, sprinkle with the grated cheese and parsley and toss before serving."
"Pasta with Escarole, White Beans and Chicken Sausage","4 serving(s)","25","Cook the pasta according to the directions on the package.
Heat the oil over a medium heat in a large, deep saute pan or 8-quart stockpot.
Saute the onion until soft and translucent, about 5 minutes. Add the garlic and cook an additional 1 minute. Stir in the sausage and cook until heated through and browned, about 4 minutes. Add the escarole and cook until wilted, about 3 to 4 minutes.
Add the beans, 1 cup of chicken stock, sage and red pepper flakes and simmer until the mixture is heated through and liquid is slightly reduced.
Add the sausage-bean mixture to pasta and toss well, loosening with the additional 1/2 cup chicken stock if necessary. Season with freshly ground pepper and salt, to taste.
Divide among 4 pasta bowls and top with Parmesan cheese."
"Chicken Sausage, Pepper and Onion Pasta Fake-Bake","4 serving(s)","35","Place a pot of water on the stove to boil for pasta. When the water boils, salt it and cook pasta to al dente, with a bite to it. Prick sausages with a fork. Place chicken sausages in a large skillet and add 1 inch of water. Add 1 tablespoon extra-virgin olive oil to the skillet, 1 turn of the pan. Bring water to a boil then reduce heat a little. Allow all the liquid to cook away then brown and crisp the casings, 5 to 6 minutes. Preheat broiler. While pasta and sausage cook, heat a deep skillet over medium heat with 2 tablespoons extra-virgin olive oil, 2 turns of the pan. Add the peppers, onions and garlic and season with salt and pepper. When the sausages are cooked through, slice them on an angle and add them to the peppers and onions. Cook together until peppers and onions are tender and sliced sausages are crisp at edges then deglaze the pan with white wine or chicken stock. Stir in crushed tomatoes and bring to a bubble, reduce heat to low. Drain rigatoni and return to warm pot. Add ricotta cheese, salt and pepper, parsley and basil and half of the Parmigiano, a couple of handfuls, stir to combine. To assemble the ""fake bake,"" place half the sausage, peppers, onions and sauce in the bottom of a flameproof baking dish. Top with all of the pasta and then the remaining sausage and sauce. Cover the top of the dish with the grated Parmigiano and place until broiler 2 minutes to brown cheese and set pasta.;"
"Jambalaya Pasta with Penne, Chicken, Shrimp and Andouille","6 serving(s)","40","Fill a large, 1-gallon stock pot with a pasta insert, 3/4 full with water. Bring to a boil over high heat and season with salt to taste. Place the penne in the salted water and return to a boil, stirring occasionally. Cook the pasta until nearly al dente, 10 to 12 minutes. Drain and set aside, reserving 1 cup of the pasta cooking water.
While the pasta cooks, set a 14-inch saute pan over medium-high heat and add 1 tablespoon of the olive oil, swirl the pan to evenly coat with the oil. Season the shrimp with 2 teaspoons of the Essence and 1/8 teaspoon salt. Place the shrimp in the pan and sear for 1 minute per side. Remove the shrimp from the pan and set aside. Add another tablespoon of the olive oil to the saute pan and season the chicken breast with 2 teaspoons of the Essence and 1/8 teaspoon of the salt. Place the chicken breast in the pan and sear for 3 minutes, turning to ensure even browning. Remove the chicken from the pan and set aside with the seared shrimp.
Place the remaining tablespoon of olive oil in the saute pan and add the sausage, onions and bell peppers. Saute, stirring occasionally, until the sausage is lightly caramelized and the onions are translucent, about 3 minutes. Add the garlic to the pan and saute for 30 seconds. Add the chicken stock to the pan and scrape with a spoon to remove any browned bits that have formed in the bottom of the pan, about 30 seconds. Add the diced tomatoes, fresh thyme, the remaining tablespoon of Essence and 1/2 teaspoon salt and cook for 2 minutes. Add the heavy cream to the pan and cook an additional 2 minutes. Return the shrimp and chicken to the pan, as well as the nearly al dente pasta and the reserved 1 cup of pasta cooking water. Continue to cook the sauce and pasta, stirring occasionally, until the shrimp and chicken are cooked through, the pasta is al dente and most of the pasta cooking water has evaporated, about 3 minutes. Remove from the heat and add the basil and Parmesan. Toss to combine and serve while hot.
Combine all ingredients thoroughly.
Recipe from ""New New Orleans Cooking"", by Emeril Lagasse and Jessie Tirsch
Published by William Morrow, 1993."
"Herbed Chicken Marsala","4 serving(s)","35","Place the chicken cutlets between 2 pieces of plastic wrap and pound with a meat mallet (or the flat side of a chef's knife) until about 1/3 inch thick. Sprinkle with 1/4 teaspoon salt and 1/4 teaspoon pepper.
Put the flour on a medium plate. Heat the oil in a large nonstick skillet over medium-high heat. Dredge the chicken in the flour to fully coat, shaking off any excess. Add the chicken to the skillet and fry until fully cooked and golden brown, about 4 minutes per side. Transfer to a platter and tent with foil to keep warm.
Add 1/2 cup of the broth, the sun-dried tomatoes and rosemary to any remaining drippings in the skillet and cook, stirring frequently, for 1 minute to plump the tomatoes. Add the mushrooms, 1/4 teaspoon salt and 1/2 teaspoon pepper and cook until the mushrooms are soft, about 5 minutes. Add the marsala and bring to a boil. Add the remaining 1/4 cup broth and the butter and simmer until the butter is fully melted, about 30 seconds.
Spoon the mushroom mixture and sauce over the chicken, sprinkle with the parsley and serve."
"Lemony Yogurt Pound Cake","8 serving(s)","125","Preheat the oven to 350 degrees F. Coat an 8 1/2- by 4 1/2-inch loaf pan with baking spray. Whisk together the flour, baking powder and salt in a medium bowl. Put the sugar and lemon zest in another bowl and rub the lemon zest into the sugar with your fingers. Add the yogurt, milk, olive oil, vanilla, egg whites and whole egg and vigorously whisk until well blended. Add the flour mixture into the egg mixture and fold until just incorporated. Transfer to the prepared pan. Bake until a cake tester inserted in the center comes out clean, about 50 minutes. Cool in the pan on a wire rack for 5 minutes, and then unmold and cool to room temperature."
"Sloppy Joes","8 serving(s)","30","Brown the meat and the onion in a large nonstick skillet over medium-high heat for 5 minutes, breaking up the meat into crumbles as it cooks. Pour the drippings out of the pan and discard. Add the garlic, jalapeno, and red pepper and cook 5 minutes more, stirring occasionally. Stir in the rest of the ingredients, reduce heat to low, and simmer for 5 minutes more. Place a half-cup scoop of the mixture onto each bun and serve."
"Pan-Seared Salmon with Kale and Apple Salad","4 serving(s)","40","Bring the salmon to room temperature 10 minutes before cooking.
Meanwhile, whisk together the lemon juice, 2 tablespoons of the olive oil and 1/4 teaspoon salt in a large bowl. Add the kale, toss to coat and let stand 10 minutes.
While the kale stands, cut the dates into thin slivers and the apple into matchsticks. Add the dates, apples, cheese and almonds to the kale. Season with pepper, toss well and set aside.
Sprinkle the salmon all over with 1/2 teaspoon salt and some pepper. Heat the remaining 1 tablespoon oil in a large nonstick skillet over medium-low heat. Raise the heat to medium-high. Place the salmon, skin-side up in the pan. Cook until golden brown on one side, about 4 minutes. Turn the fish over with a spatula, and cook until it feels firm to the touch, about 3 minutes more.
Divide the salmon, salad and rolls evenly among four plates."
"Breakfast Casserole","6 serving(s)","535","Heat a large nonstick skillet over medium heat. Add the turkey and scallions and cook, stirring to break up any large chunks, until browned and cooked through, about 10 minutes. Remove from heat and let cool slightly.
Whisk the eggs, egg whites, milk and 1/2 teaspoon each salt and pepper in a large bowl until combined. Add the cooked sausage, spinach, cheeses and bread and toss to distribute ingredients evenly.
Spray a 3-quart casserole dish with cooking spray. Spread the egg mixture evenly in the dish. Cover and refrigerate for at least 6 hours or preferably overnight.
Preheat the oven to 350 degrees F. Bake the casserole, uncovered, until set and lightly browned on top, about 30 minutes."
"Whole30 Bacon and Egg Cups","12 serving(s)","45","Preheat the oven to 400 degrees F. Wrap 1 piece of bacon around the inside of each cup of a 12-cup muffin tin to create rings. Put 1 slice of potato on the bottom of each cup and divide the bell pepper pieces among the cups.
Bake until the fat starts to render from the bacon (it will bubble in the bottom of each cup) and the bacon begins to crisp and turn light brown on the top edges, 10 to 12 minutes.
Remove the tin from the oven and crack an egg into each cup, making sure the yolk is inside the bacon ring. Continue baking until the bacon is crisp, the egg whites are cooked through and the yolks are still runny, about 10 minutes longer. Run an offset spatula around the edges and remove to a platter. Sprinkle with the chives and serve with hot sauce if desired."
"Slow-Cooker Pork Tacos","8 serving(s)","336","Put the ancho and pasilla chiles and the garlic in a bowl; add 2 to 3 tablespoons water. Microwave on high until soft and pliable, 2 to 3 minutes. Stem and seed the chiles; peel the garlic. Transfer the chiles and garlic to a blender.
Add the chipotles, onion, 2 tablespoons olive oil, honey, vinegar, 1 tablespoon salt and the oregano to the blender; puree until smooth. Heat the remaining 1 tablespoon oil in a large skillet over high heat; add the chile sauce and fry, stirring, until thick and fragrant, about 8 minutes. Pour in the broth and reduce until slightly thickened.
Season the pork all over with salt and pepper and transfer to a large slow cooker. Add the bay leaves and cinnamon stick, then pour in the sauce. Cover and cook on high until the meat is tender, about 5 hours. (Or cook the meat in a large Dutch oven, covered, for 1 hour 45 minutes at 350 degrees; uncover and cook 30 more minutes.)
Discard the bay leaves and cinnamon stick. Shred the pork with 2 forks; season with salt and pepper. Serve the shredded pork in the tortillas, along with toppings."
"Angel Food Cake","12 serving(s)","55","Preheat oven to 350 degrees F.
In a food processor spin sugar about 2 minutes until it is superfine. Sift half of the sugar with the salt the cake flour, setting the remaining sugar aside.
In a large bowl, use a balloon whisk to thoroughly combine egg whites, water, orange extract, and cream of tartar. After 2 minutes, switch to a hand mixer. Slowly sift the reserved sugar, beating continuously at medium speed. Once you have achieved medium peaks, sift enough of the flour mixture in to dust the top of the foam. Using a spatula fold in gently. Continue until all of the flour mixture is incorporated.
Carefully spoon mixture into an ungreased tube pan. Bake for 35 minutes before checking for doneness with a wooden skewer. (When inserted halfway between the inner and outer wall, the skewer should come out dry).
Cool upside down on cooling rack for at least an hour before removing from pan."
"Blueberry Compote","1 serving(s)","23","Combine 1 cup of the blueberries, water, sugar and lemon juice in a small saucepan. Cook over a medium heat for about 10 minutes. Add the rest of the blueberries and cook for 8 minutes more, stirring frequently. Serve warm."
"Roasted Cauliflower and Broccoli","8 serving(s)","75","Preheat the oven to 375 degrees F.
Place cauliflower and broccoli into a 9 by 13 inch baking dish, toss with the olive oil, and sprinkle with salt. Cover the dish and bake for 1/2 hour. Remove the cover, stir and cook for 30 to 40 minutes more, until vegetables are tender and nicely browned, stirring occasionally."
"Buffalo Cauliflower with Blue Cheese Sauce","4 serving(s)","80","Preheat the oven to 400 degrees F.
For the cheese sauce: Whisk together the sour cream, blue cheese, milk, mayonnaise, 1/8 teaspoon salt and a few grinds of pepper in a small bowl. Cover and refrigerate until chilled, about 30 minutes
For the Buffalo cauliflower: Meanwhile, microwave the butter in a small microwave-safe bowl on high until melted. Whisk in the hot sauce and lemon juice and set aside.
Mix olive oil, 1/4 teaspoon salt and 1/2 cup water in a large bowl. Add the cauliflower and toss until well coated. Spread the cauliflower on a rimmed baking sheet and roast until beginning to brown and just tender, 20 to 25 minutes. Whisk the hot sauce mixture again, drizzle over the cauliflower and toss with tongs to coat. Roast the cauliflower until the sauce is bubbling and browned around the edges, 5 to 7 minutes more. Serve hot with the cheese sauce."
"Roasted Brussels Sprouts with Grapes","8 serving(s)","45","Put a baking sheet on the middle oven rack and preheat to 450 degrees F. Toss the Brussels sprouts with the olive oil, 1/2 teaspoon salt and a few grinds of pepper in a large bowl. Spread on the hot baking sheet and roast, tossing halfway through, until tender and charred in spots, 20 to 30 minutes.
Meanwhile, melt the butter in a large skillet over medium-high heat. Add the grapes and thyme and cook, tossing, until the grapes start to burst, about 4 minutes. Add the scallions and honey. Increase the heat to high and bring to a boil. Reduce the heat to medium low and simmer until the juices thicken and the grapes are glazed, 1 to 2 minutes. Season with salt and pepper. Transfer the Brussels sprouts to a serving dish; spoon the grapes over the top and sprinkle with the hazelnuts."
"Brussels Sprouts-in-a-Blanket","8 serving(s)","60","Preheat the oven to 425 degrees F. Spread the Brussels sprouts out on a rimmed baking sheet, drizzle with the oil and sprinkle generously with salt and pepper. Bake, stirring the sprouts once halfway through cooking, until golden brown and tender, 18 to 20 minutes. Transfer the baking sheet to a rack and let cool completely. Leave the oven on.
Sprinkle the Parmesan evenly on a work surface and lay the pastry sheet over it. Roll the dough into a 12-inch square, sweeping up any loose cheese onto the dough and pressing it in place. Use an offset spatula or table knife to spread the butter over the pastry so it covers it from edge to edge in a thin, even coating. Lay the prosciutto over the butter so it covers the pastry completely. Cut the pastry square in half to make two 12-by-6-inch rectangles. Cut each rectangle crosswise into eight 1 1/2-inch-wide, 6-inch-long strips. Then cut each strip diagonally lengthwise so you have 32 long, narrow triangles. Place a Brussels sprout at the wide end of each triangle, then roll it up in each strip toward the tip (it will look like a crescent roll with the Brussels sprout peeking out on each end).
Transfer each bundle to a parchment-lined baking sheet and space 1 inch apart. Rake up all the excess Parmesan on the work surface and sprinkle it on top of the rolls. Bake until the pastry is golden brown and the Brussels sprouts are warmed through, 16 to 18 minutes. Transfer to a serving dish."
"Roasted Brussels Sprouts","6 serving(s)","50","Preheat oven to 400 degrees F.
Cut off the brown ends of the Brussels sprouts and pull off any yellow outer leaves. Mix them in a bowl with the olive oil, salt and pepper. Pour them on a sheet pan and roast for 35 to 40 minutes, until crisp on the outside and tender on the inside. Shake the pan from time to time to brown the sprouts evenly. Sprinkle with more kosher salt ( I like these salty like French fries), and serve immediately."
"Roasted Brussels Sprouts and Kale","8 serving(s)","50","Preheat the oven to 400 degrees F.
Slice the Brussels sprouts very thin. Toss with 2 tablespoons of the oil and some salt and pepper on a baking sheet. Roast, shaking the baking sheet a couple of times while cooking, until the sprouts are browned in spots and tender, about 30 minutes. Transfer to a bowl, stir in the grated Parmesan and set aside.
Toss the kale with the remaining 2 tablespoons olive oil and place on a baking sheet. Roast until the leaves are tender, crisp on the edges and lightly browned, about 10 minutes, then stir with the Brussels sprouts. Garnish with the lemon zest, big shavings of Parmesan and toasted pecans before serving."
"Beautiful Brussels Sprouts","16 serving(s)","50","Preheat the oven to 375 degrees F.
Use a knife to lop off the top and bottom of the squash. Slice the skin off the sides, then cut the squash in half lengthwise and remove the seeds. Cut the squash into large pieces, cut the pieces into slices, cut the slices into matchsticks and then cut the matchsticks into dice. Divide the squash between 2 baking sheets.
Trim the Brussels sprouts, then cut them in half if desired (or you can leave them whole). Arrange them on the baking sheets with the squash and add the red onions. Drizzle the vegetables with the olive oil, sprinkle with the chili powder, salt and pepper and toss. Roast until browned, 25 to 30 minutes.
Tip the vegetables into a serving dish, drizzle with the pomegranate molasses and sprinkle on the pomegranate seeds. Toss and serve immediately."
"Air Fryer Brussels Sprouts","2 serving(s)","35","Trim and quarter the Brussels sprouts and toss in a large bowl with the olive oil and 2 teaspoons salt. Set the air fryer to 390 degrees F and preheat a 3.5-quart air fryer for 5 minutes. Transfer the sprouts to the air fryer and cook, tossing halfway through, until well-browned and crispy, about 18 minutes.
Transfer to a serving bowl and toss with the Parmesan and lemon zest."
"Shaved Brussels Sprouts with Pancetta","7 serving(s)","40","Heat 1 tablespoon of olive oil in a large (12-inch) saute pan over medium heat. Add the pancetta and cook for 5 to 7 minutes, until browned and cooked through. With a slotted spoon, transfer the pancetta to a plate lined with paper towels and set aside.
Add 2 tablespoons of olive oil and the butter to the same saute pan and cook over medium-high heat just until the butter melts. Add the shallots and cook for 5 to 7 minutes, until tender and starting to brown.
Meanwhile, place the Brussels sprouts in the feed tube of a food processor fitted with the large slicing disk. (You don't need to core them.) Process the sprouts in batches until they are all sliced, transferring them to a bowl. Add the Brussels sprouts to the pan with the shallots, add 1 1/2 teaspoons salt and 3/4 teaspoon pepper and saute for 5 to 7 minutes, stirring occasionally (I use tongs), until crisp-tender and bright green. Add the pancetta and cook for 1 more minute. Off the heat, stir in the balsamic vinegar, season to taste, and serve hot."
"Balsamic-Roasted Brussels Sprouts","6 serving(s)","0","Preheat the oven to 400 degrees. Place the Brussels sprouts on a sheet pan, including some of the loose leaves, which get crispy when they're roasted. Add the pancetta, olive oil, 1 1/2 teaspoons salt, and 1/2 teaspoon pepper, toss with your hands, and spread out in a single layer. Roast the Brussels sprouts for 20 to 30 minutes, until they're tender and nicely browned and the pancetta is cooked. Toss once during roasting. Remove from the oven, drizzle immediately with the balsamic vinegar, and toss again. Taste for seasonings, and serve hot."
"Charred Brussels Sprout Crostini","24 serving(s)","45","Preheat the broiler to high.
Combine the sugar and Champagne vinegar in a small saucepan. Bring to a simmer over medium heat; cook until the sugar is fully dissolved and the mixture has thickened just slightly, 3 minutes. Remove from the heat and stir in the dried cranberries. Let sit for 10 minutes to plump the cranberries.
Meanwhile, on a rimmed baking sheet, combine the sliced Brussels sprouts, 2 tablespoons of the olive oil, 3/4 teaspoon of the salt, and the pepper flakes. Toss well to coat. Broil for 6 minutes, stirring halfway through and rotating the baking sheet as needed for even browning. Add the sprouts to a medium bowl and toss with the cranberry mixture while hot. Set aside for 5 minutes to let the flavors marry.
In a small bowl, whisk the remaining 2 tablespoons olive oil and 1/4 teaspoon salt into the ricotta. Using a small offset spatula, spread the crostini with the ricotta mixture. Top each crostini with a spoonful of the Brussel sprout mixture and sprinkle with a few pine nuts."
"Slow Cooked Brussels Sprouts","6 serving(s)","50","Heat vegetable oil over high heat in a large skillet. Add Brussels sprouts and brown all over by shaking the pan often. Season with salt, to taste. Remove Brussels sprouts from pan, reduce heat to medium high and add the butter to melt. Add shallots and saute for a minute or 2. Add the sprouts back in, add the chicken stock, cover, reduce heat to medium low, and cook for 30 minutes or until sprouts are soft and tender."
"Bacon-Wrapped Brussels Sprouts with Creamy Lemon Dip","6 serving(s)","55","Preheat the oven to 400 degrees F. Line a rimmed baking sheet with parchment paper.
Trim the stem ends from the Brussels sprouts, and halve lengthwise. Put them in a medium bowl, and toss with 1 teaspoon salt.
Lay the bacon strips next to each other on a work surface. Brush liberally with about 1/2 the maple syrup, then halve crosswise. Wrap each Brussels sprout half with 1 strip of bacon, syrup-side out, so the seam is on the flat side. Place the sprouts seam-side down on the parchment-lined rimmed baking sheet, leaving a bit of space between them. Brush them with a bit more syrup, and grind a little black pepper on top. Roast, rotating the baking sheet halfway through, until the bacon is crisp and the sprouts are tender when pierced with the tip of a knife, about 30 minutes.
Meanwhile, mix the mayonnaise, most of the lemon zest and all the lemon juice in a small serving dish. Sprinkle the remaining lemon zest on top. Put about 1/2 cup maple syrup in a second small serving dish, and stir in as much black pepper and crushed red pepper flakes as you like.
Transfer the sprouts to a platter, and serve with the lemon mayonnaise and peppered maple syrup, for dipping."
"Grilled Brussels Sprouts","6 serving(s)","65","Prepare a grill for medium-high indirect heat: For gas grills (with 3 or more burners), turn all the burners to medium-high heat; after about 15 minutes, turn off one of the middle burners and keep the remaining burners at medium high. For charcoal grills, bank one chimney starter-full of lit and ashed-over charcoal briquettes to one side of the grill. Set up a drip pan on the other side to avoid flare-ups. (Be sure to consult the grill manufacturer's guide for best results.)
Toss the Brussels sprouts with the butter, oil, 2 teaspoons salt and several grinds of black pepper in a medium bowl. Layer the bacon in a 24-by-12-inch grill basket in a single layer and top with the Brussels sprouts. Close the grill basket and place it on the grill over indirect heat Brussels sprouts-side down. Cover the grill and cook until the Brussels sprouts are tender and dark golden, 15 to 20 minutes. Open the grill, flip the basket so the bacon is down and move the basket to direct heat. Cook until the bacon is crisp, 2 to 3 minutes. If you want your Brussels sprouts darker, flip again and cook for another 1 to 2 minutes.
Carefully remove the Brussels sprouts to a serving platter, crumble the bacon over the top and sprinkle with the lemon zest. Sprinkle with the red pepper flakes and Parmesan, if using."
"Basic Brussels Sprouts","4 serving(s)","10","Cut off the stem end of the Brussels sprouts and remove any yellowing outer leaves. Cut each Brussels sprout in half from top to bottom. Place the Brussels sprouts, water and salt into a 3 to 4-quart saucier and cover. Place over high heat and cook for 5 minutes or until tender. Remove and serve immediately."
"Sauteed Shredded Brussels Sprouts","6 serving(s)","15","Place the Brussels sprouts in the feed tube of the food processor fitted with a large slicing disc. (There is no need to core them.) Process the Brussels sprouts until they're all sliced.
Place the butter and olive oil in a large (12-inch) saute pan and heat it over medium heat. Add the sliced Brussels sprouts, 1 1/2 teaspoons salt, and 1/2 teaspoon pepper and saute them, stirring frequently, for about 4 to 5 minutes, until tender but still bright green. Stir in the balsamic vinegar, season to taste, and serve hot."
"Winter Produce Guide","","0",""
